customer_id,segment_true,expected_frequency,monetary_mean,country,customer_type
C00001,champion,12.494481426168349,770.4285838459497,DZ,Group
C00002,champion,15.18390181036444,293.61118426546193,CG,Business
C00003,champion,8.697003346018393,719.7056874649611,AR,Leisure
C00004,champion,16.496870933552547,212.35069657748147,SZ,Corporate
C00005,champion,17.98931168960506,327.40346640696566,IS,Business
C00006,champion,10.200854118241207,382.54534577572264,HN,Leisure
C00007,champion,13.18334022370539,374.73748411882514,GR,Leisure
C00008,champion,9.673926327824502,375.2867891211309,CU,Leisure
C00009,champion,13.47283981060443,671.1055768358082,LK,Business
C00010,champion,14.170813260963339,555.4487413172255,CA,Business
C00011,champion,15.290538222817261,302.31447421237493,GD,Business
C00012,champion,19.38662644704,779.3792198447356,SZ,Group
C00013,champion,11.655365230080449,258.6032684038303,ST,Leisure
C00014,champion,13.281829924875215,273.2229409068673,BT,Leisure
C00015,champion,8.41266225338262,745.5922412472693,UA,Leisure
C00016,champion,15.950267412247783,387.0266456536466,NO,Leisure
C00017,champion,14.560523352119356,310.9126733153162,AU,Corporate
C00018,champion,17.301593880333375,763.6993649385134,AT,Corporate
C00019,champion,15.174799745733022,753.12454101387,BW,Business
C00020,champion,10.351794349029742,227.13637334632284,GM,Leisure
C00021,champion,12.664127476273784,362.80941906433753,HT,Group
C00022,champion,12.281039920323071,368.56070581242847,SD,Leisure
C00023,champion,9.691090699697153,681.3181884524238,UY,Business
C00024,champion,19.842643239206208,663.3468615779944,AR,Business
C00025,champion,8.066265405483229,689.2768570729005,TJ,Group
C00026,champion,16.748086016491847,662.7622080115675,FJ,Business
C00027,champion,12.30158874253127,269.5214357150778,VC,Corporate
C00028,champion,15.479577521930695,398.5388149115895,CF,Business
C00029,champion,11.731787860587946,395.1099932160482,ME,Group
C00030,champion,15.650689656262557,732.3276455457959,ST,Leisure
C00031,champion,9.43513095125962,627.946872333797,NL,Group
C00032,champion,14.735326370833954,662.5803079727366,GN,Leisure
C00033,champion,14.272793952583928,456.5246110151298,PE,Business
C00034,champion,9.294697123919654,218.85751141204054,TZ,Leisure
C00035,champion,11.77227177291592,505.14241469882165,IT,Corporate
C00036,champion,10.991506749786499,446.2297538213778,AF,Group
C00037,champion,10.74557798589947,246.1879458972758,PS,Leisure
C00038,champion,9.934655447048053,757.8185914055439,DJ,Group
C00039,champion,15.600845078125081,722.8763541126307,MC,Group
C00040,champion,10.23884070663243,735.5353990939867,NO,Leisure
C00041,champion,17.68928186196875,737.6547799540959,LV,Leisure
C00042,champion,9.32062309433212,336.76109752516504,IT,Leisure
